"ID"	"Probesets"	"Symbol"	"logFC"	"FC"	"PValue"	"AdjPVal"
"NM_001127198"	"204328_at"	"TMC6"	2.38951646395196	10.9082181509311	0.000482124123483958	0.000756199852596286
"NM_206938"	"223343_at"	"MS4A7"	2.39254042059392	10.9412540540557	1.46843962756123e-05	5.60258430188217e-05
"NM_013321"	"223241_at"	"SNX8"	2.39593439554512	10.9784514841161	0.00097223851952892	0.00124767184218616
"NM_001144925"	"202086_at"	"MX1"	2.40018199001107	11.02518267119	0.000573597777202793	0.000858598133183107
"NM_007351"	"205612_at"	"MMRN1"	2.40687745091763	11.0992490282574	0.000325115060773175	0.000557471304772082
"NM_002737"	"1560074_at"	"PRKCA"	2.40807563273932	11.1125559171216	3.65405818134242e-05	0.000113744272619223
"NM_001247999"	"219666_at"	"MS4A6A"	2.41241636236983	11.1608973605258	0.00133092027997335	0.00158405609792906
"NM_000593"	"202307_s_at"	"TAP1"	2.41484500980572	11.1880361872642	1.47679322619629e-05	5.60258430188217e-05
"NM_025107"	"220471_s_at"	"MYCT1"	2.41591935356362	11.2000624431148	0.00172444890115687	0.00193840830185596
"NM_032782"	"1554285_at"	"HAVCR2"	2.41857080089979	11.229798222851	0.00091314500438621	0.00118435687534707
"NM_006566"	"207315_at"	"CD226"	2.4280192474306	11.3364052130407	0.000803893687076578	0.00108436326234552
"NM_001162422"	"1555355_a_at"	"ETS1"	2.42895309532282	11.3469966357735	0.00149158429619452	0.00173115041642461
"NM_000201"	"202637_s_at"	"ICAM1"	2.43192252551308	11.3807408258659	0.000574284748059871	0.000858598133183107
"NM_003730"	"1556201_at"	"RNASET2"	2.43381863684459	11.4023404486803	0.00030805978023655	0.000534263676010244
"NM_024315"	"204215_at"	"TMEM243"	2.4355101126794	11.4216435527743	0.000532822223825281	0.000812620828798857
"NM_001083591"	"1554569_a_at"	"CELF2"	2.44150891747693	11.4903656821499	0.000510980531024665	0.00079123771003054
"NM_006068"	"207446_at"	"TLR6"	2.44583206279234	11.5401477327066	4.45692820438373e-05	0.000127611104719855
"NM_001037332"	"215785_s_at"	"CYFIP2"	2.44738227527781	11.5580512873775	2.5681222690922e-05	8.66027898521648e-05
"NM_016323"	"219863_at"	"HERC5"	2.45083152075508	11.5979866773947	0.000228851904199283	0.000434103455778016
"NM_006257"	"210038_at"	"PRKCQ"	2.45707399397489	11.6706132474961	0.000128008325424599	0.000274562026617427
"NM_016245"	"217989_at"	"HSD17B11"	2.46376715334266	11.7489885183802	0.00068734223474444	0.00099337318211875
"NM_003930"	"204361_s_at"	"SKAP2"	2.46505811474868	11.7641658036542	6.63986490861626e-05	0.000170779576251274
"NM_182907"	"217192_s_at"	"PRDM1"	2.46725332640185	11.7900190037572	3.92035274053517e-06	1.8305031642345e-05
"NR_040662"	"206082_at"	"HCP5"	2.47594639670685	11.8929572442869	4.75715121624052e-05	0.000132220173555174
"NM_002119"	"206313_at"	"HLA-DOA"	2.47952035022315	11.9355381664432	0.00244983491400049	0.0024620029682091
"NM_001400"	"204642_at"	"S1PR1"	2.47994438534912	11.9406003270642	3.90405751350308e-05	0.000116164848563548
"NM_175931"	"208056_s_at"	"CBFA2T3"	2.48532412419306	12.0050107387155	0.00206041669558249	0.00219801921655285
"NM_201554"	"203385_at"	"DGKA"	2.48702844455274	12.0254885683699	1.36712299420503e-05	5.35233841497094e-05
"NM_001134456"	"217540_at"	"NXPE3"	2.49528633154039	12.1252048501721	0.000277604779750692	0.000500018104773501
"NM_021777"	"205997_at"	"ADAM28"	2.50196354348081	12.2064383174997	2.94900721316342e-05	9.62391063650644e-05
"NM_006290"	"202643_s_at"	"TNFAIP3"	2.50472550997436	12.2401986921885	9.88574384617535e-08	8.96601284598678e-07
"NM_000092"	"214602_at"	"COL4A4"	2.50520897033316	12.2461177737453	6.61042281282583e-06	2.82572299111639e-05
"NM_001243965"	NA	"HLA-DRB1"	2.51964374282959	12.424169675518	1.0404543645821e-06	6.51088452887976e-06
"NM_000442"	"1558397_at"	"PECAM1"	2.52341856169622	12.4711572946921	4.21766167676699e-05	0.000122046932195604
"NM_001114101"	"225353_s_at"	"C1QC"	2.52400047034904	12.4784164809194	3.77854491401748e-05	0.000115178941288495
"NM_001076785"	"203578_s_at"	"SLC7A6"	2.53883891523267	12.6649573415533	0.000100010681461344	0.000230042529254214
"NM_017523"	"206133_at"	"XAF1"	2.53907999410699	12.6680109632795	1.9483715925718e-06	1.08501060246888e-05
"NM_015687"	"1556325_at"	"FILIP1"	2.5393405910796	12.6713126387702	0.000241412563056295	0.000453676240790003
"NM_004103"	"203110_at"	"PTK2B"	2.54029033871526	12.6833529046916	4.2011176735983e-05	0.000122046932195604
"NM_001025158"	"1567627_at"	"CD74"	2.54377432805958	12.7276186369561	1.48829493064041e-05	5.61114921055112e-05
"NM_033554"	"211990_at"	"HLA-DPA1"	2.55676329010516	12.8940155142859	3.55927890718855e-08	3.92814963029718e-07
"NM_005099"	"1555380_at"	"ADAMTS4"	2.56211130848129	12.9631576681569	0.000219707832220864	0.000420702379047521
"NM_002801"	"202659_at"	"PSMB10"	2.56402600448066	12.988001951318	0.00177568312680364	0.00195839148438868
"NM_052941"	"235175_at"	"GBP4"	2.56722381671956	13.029601621434	2.25375469196915e-06	1.20613403385534e-05
"NM_001164440"	"231963_at"	"ANKRD33B"	2.57251013270629	13.0986625910135	0.00243555906578039	0.00245171534482371
"NM_001207025"	"211660_at"	"POU2F2"	2.57691408215294	13.1564756483347	0.000929510658693298	0.00120045312729113
"NM_032206"	"226474_at"	"NLRC5"	2.57842727746111	13.1763990357444	2.96781615706164e-07	2.30956975299541e-06
"NR_045115"	"216828_at"	"MLLT10P1"	2.58614424959019	13.278474289246	0.00113255293607934	0.00141379454507946
"NM_001171934"	NA	"CDH23"	2.58683349765476	13.2876296067303	0.00234320159635291	0.00237449644238099
"NM_001080125"	"1553306_at"	"CASP8"	2.58734204741707	13.2943887461421	0.000289621914769695	0.000512803536385411
"NM_003803"	"205610_at"	"MYOM1"	2.59529644711415	13.4005593297808	0.000480795296304064	0.000756069287193178
"NM_080548"	"206687_s_at"	"PTPN6"	2.60127204455297	13.4808754070714	0.000106772666633804	0.000242737860100071
"NM_003638"	"214265_at"	"ITGA8"	2.60303102293527	13.5046088426676	0.000295711776284543	0.000520281299144109
"NM_015187"	"212311_at"	"SEL1L3"	2.60389628264267	13.5162988932989	1.16069260542451e-05	4.57493773696543e-05
"NM_006748"	"203760_s_at"	"SLA"	2.60583000404098	13.5424609365941	0.00085447778140733	0.00112265803747673
"NM_015568"	"212750_at"	"PPP1R16B"	2.61970769883314	13.7317092037791	4.8493769598197e-05	0.000133193294778758
"NM_001127197"	"203490_at"	"ELF4"	2.62198353621108	13.7629959290936	0.000174010352168163	0.00035325847413403
"NM_004048"	"201891_s_at"	"B2M"	2.62853349381521	13.8534388442168	0.00119766567570432	0.00146865265687378
"NM_005668"	"1554460_at"	"ST8SIA4"	2.63232221040018	13.9060251521297	4.39518211811007e-06	2.01731136381716e-05
"NM_138381"	"227686_at"	"OXNAD1"	2.63481947152962	13.9407955254882	6.67249036883282e-05	0.000170894584551963
"NM_030576"	"218600_at"	"LIMD2"	2.63737255473575	13.976433009798	7.32920861022798e-05	0.000180925891651608
"NM_022350"	"1554272_at"	"ERAP2"	2.6375802259827	13.9793358144731	2.46069358363784e-05	8.4386497472778e-05
"NM_032977"	"205467_at"	"CASP10"	2.63794812034542	13.9844796794552	7.78550953347854e-05	0.000189256824541388
"NM_015225"	"1552455_at"	"PRUNE2"	2.64661455000026	14.1062018754331	0.00087043659990896	0.00113869615548435
"NM_001001547"	"206488_s_at"	"CD36"	2.64765362028194	14.1208668282281	0.000880581952709443	0.00114949085009598
"NM_005127"	"1556209_at"	"CLEC2B"	2.65220818403556	14.1853279010546	2.68720760717722e-05	8.96228031624489e-05
"NM_003355"	"208997_s_at"	"UCP2"	2.65565603245665	14.2343211736149	0.000191433519421748	0.000378502105175899
"NM_003608"	"214467_at"	"GPR65"	2.65776235657796	14.2643348658389	0.00168965011376357	0.00191704227860652
"NM_001206609"	"209879_at"	"SELPLG"	2.66123216351146	14.3139153214185	0.00158485532941139	0.00181853910199001
"NM_181426"	"233326_at"	"CCDC39"	2.66281023952954	14.336521600434	2.56107565708494e-05	8.66027898521648e-05
"NM_152680"	"238063_at"	"TMEM154"	2.66739811220079	14.402446848772	0.0012037380285553	0.00147122856414331
"NM_001098478"	"204806_x_at"	"HLA-F"	2.67103445110958	14.4549143636483	0.000177442048312166	0.00035902441108495
"NM_001276501"	"204265_s_at"	"GPSM3"	2.67491038880802	14.5110494288899	0.00179785492164874	0.00197341399175549
"NM_006235"	"1569675_at"	"POU2AF1"	2.68364634468254	14.6383726516797	0.00163971907774404	0.00186737238309687
"NM_006074"	"213293_s_at"	"TRIM22"	2.69360542822284	14.7848857851097	1.53523046807653e-05	5.71708524001506e-05
"NM_001204147"	"1552758_at"	"HDAC9"	2.69506541207513	14.8064872446679	0.000225112806498903	0.000429293265068042
"NM_000544"	"204769_s_at"	"TAP2"	2.70300689638845	14.9245408709257	1.24050748865776e-06	7.38223574132611e-06
"NM_018440"	"225622_at"	"PAG1"	2.70371175759454	14.9350643091502	3.02962957666785e-06	1.48305254277208e-05
"NM_005335"	"202957_at"	"HCLS1"	2.71172190915816	15.055176855503	2.97949090782506e-06	1.47036665126001e-05
"NM_004155"	"209722_s_at"	"SERPINB9"	2.717456867077	15.1417657156409	9.5185711124207e-08	8.88888102344518e-07
"NM_019111"	"208894_at"	"HLA-DRA"	2.71915401362229	15.1674853298187	2.44923198406438e-07	2.00903218152308e-06
"NM_000395"	"205159_at"	"CSF2RB"	2.72097719634574	15.1951636506815	0.000248905301978079	0.000459226499394207
"NM_016562"	"220146_at"	"TLR7"	2.72573902545471	15.2676929723362	8.22169239034456e-05	0.000198038384164252
"NM_198196"	"1555120_at"	"CD96"	2.73237052971881	15.3692771992229	0.000697936031267972	0.00100152995503465
